,kernel,bsz,sq,sk,hq,hk,hm,hdim,sparsity,seed,dataname,time(ms)
187,sparsemask,8,16384,16384,32,32,1,128,30,68,srowsQ1A16K.npz,220.83966493606567
188,sparsemask,8,32768,32768,32,32,1,128,30,68,srowsQ1A32K.npz,859.7715473175049
189,sparsemask,8,65536,65536,32,32,1,128,30,68,srowsQ1A64K.npz,3264.107232093811
190,sparsemask,8,131072,131072,32,32,1,128,30,68,srowsQ1A128K.npz,nan
191,sparsemask,8,2048,2048,32,32,1,128,40,68,srowsQ1A2K.npz,5.0794291496276855
192,sparsemask,8,4096,4096,32,32,1,128,40,68,srowsQ1A4K.npz,15.592370033264162
193,sparsemask,8,8192,8192,32,32,1,128,40,68,srowsQ1A8K.npz,50.27894735336304
194,sparsemask,8,16384,16384,32,32,1,128,40,68,srowsQ1A16K.npz,187.29212284088135
195,sparsemask,8,32768,32768,32,32,1,128,40,68,srowsQ1A32K.npz,706.9978237152101
196,sparsemask,8,65536,65536,32,32,1,128,40,68,srowsQ1A64K.npz,2702.3302348454795
197,sparsemask,8,131072,131072,32,32,1,128,40,68,srowsQ1A128K.npz,nan
198,sparsemask,8,2048,2048,32,32,1,128,50,68,srowsQ1A2K.npz,4.723771413167318
199,sparsemask,8,4096,4096,32,32,1,128,50,68,srowsQ1A4K.npz,13.443225224812826
200,sparsemask,8,8192,8192,32,32,1,128,50,68,srowsQ1A8K.npz,44.509687423706055
201,sparsemask,8,16384,16384,32,32,1,128,50,68,srowsQ1A16K.npz,161.1163028081258
202,sparsemask,8,32768,32768,32,32,1,128,50,68,srowsQ1A32K.npz,596.1403656005859
203,sparsemask,8,65536,65536,32,32,1,128,50,68,srowsQ1A64K.npz,2324.819680849711
204,sparsemask,8,131072,131072,32,32,1,128,50,68,srowsQ1A128K.npz,nan
205,sparsemask,8,2048,2048,32,32,1,128,60,68,srowsQ1A2K.npz,4.15056069691976
206,sparsemask,8,4096,4096,32,32,1,128,60,68,srowsQ1A4K.npz,11.43888592720032
207,sparsemask,8,8192,8192,32,32,1,128,60,68,srowsQ1A8K.npz,37.27117443084717
208,sparsemask,8,16384,16384,32,32,1,128,60,68,srowsQ1A16K.npz,128.50443935394287
209,sparsemask,8,32768,32768,32,32,1,128,60,68,srowsQ1A32K.npz,470.98417854309076
210,sparsemask,8,65536,65536,32,32,1,128,60,68,srowsQ1A64K.npz,1754.438842932383
211,sparsemask,8,131072,131072,32,32,1,128,60,68,srowsQ1A128K.npz,nan
212,sparsemask,8,2048,2048,32,32,1,128,70,68,srowsQ1A2K.npz,3.7327241897583003
213,sparsemask,8,4096,4096,32,32,1,128,70,68,srowsQ1A4K.npz,9.880216121673584
214,sparsemask,8,8192,8192,32,32,1,128,70,68,srowsQ1A8K.npz,28.7844000922309
215,sparsemask,8,16384,16384,32,32,1,128,70,68,srowsQ1A16K.npz,98.29112158881294
216,sparsemask,8,32768,32768,32,32,1,128,70,68,srowsQ1A32K.npz,345.4086093902588
217,sparsemask,8,65536,65536,32,32,1,128,70,68,srowsQ1A64K.npz,1323.3052121268381
218,sparsemask,8,131072,131072,32,32,1,128,70,68,srowsQ1A128K.npz,nan
219,sparsemask,8,2048,2048,32,32,1,128,80,68,srowsQ1A2K.npz,3.250484125954765
220,sparsemask,8,4096,4096,32,32,1,128,80,68,srowsQ1A4K.npz,9.044913450876871
221,sparsemask,4,131072,131072,32,32,1,128,40,68,srowsQ2A128K.npz,5385.120284080505
222,sparsemask,4,2048,2048,32,32,1,128,50,68,srowsQ2A2K.npz,2.4687509536743164
223,sparsemask,4,4096,4096,32,32,1,128,50,68,srowsQ2A4K.npz,7.091546058654784
224,sparsemask,4,8192,8192,32,32,1,128,50,68,srowsQ2A8K.npz,23.868569533030193
225,sparsemask,4,16384,16384,32,32,1,128,50,68,srowsQ2A16K.npz,82.260262966156
226,sparsemask,4,32768,32768,32,32,1,128,50,68,srowsQ2A32K.npz,304.348426659902
227,sparsemask,4,65536,65536,32,32,1,128,50,68,srowsQ2A64K.npz,1171.342032977513
228,sparsemask,4,131072,131072,32,32,1,128,50,68,srowsQ2A128K.npz,4656.471596956252
229,sparsemask,4,2048,2048,32,32,1,128,60,68,srowsQ2A2K.npz,2.21884806950887
230,sparsemask,4,4096,4096,32,32,1,128,60,68,srowsQ2A4K.npz,5.976028442382813
231,sparsemask,4,8192,8192,32,32,1,128,60,68,srowsQ2A8K.npz,19.1864103741116
232,sparsemask,4,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,65.4413366317749
233,sparsemask,4,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,236.44379827711316
234,sparsemask,4,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,898.9008367061615
235,sparsemask,4,131072,131072,32,32,1,128,60,68,srowsQ2A128K.npz,3581.6205533345537
236,sparsemask,4,2048,2048,32,32,1,128,70,68,srowsQ2A2K.npz,1.9653367996215818
237,sparsemask,4,4096,4096,32,32,1,128,70,68,srowsQ2A4K.npz,6.262242453438894
238,sparsemask,4,8192,8192,32,32,1,128,70,68,srowsQ2A8K.npz,14.884397453731959
239,sparsemask,4,16384,16384,32,32,1,128,70,68,srowsQ2A16K.npz,49.480556547641754
240,sparsemask,4,32768,32768,32,32,1,128,70,68,srowsQ2A32K.npz,178.21878573473762
241,sparsemask,4,65536,65536,32,32,1,128,70,68,srowsQ2A64K.npz,656.4004903090628
242,sparsemask,4,131072,131072,32,32,1,128,70,68,srowsQ2A128K.npz,2524.6214713548356
243,sparsemask,4,2048,2048,32,32,1,128,80,68,srowsQ2A2K.npz,1.704816818237305
244,sparsemask,4,4096,4096,32,32,1,128,80,68,srowsQ2A4K.npz,4.087603959170256
245,attentionmask,8,2048,2048,32,32,1,128,60,68,srowsQ1A2K.npz,16.825310389200848
246,math_attention,8,2048,2048,32,32,1,128,60,68,srowsQ1A2K.npz,30.26333173116048
247,attentionmask,8,4096,4096,32,32,1,128,60,68,srowsQ1A4K.npz,64.00342583656311
248,math_attention,8,4096,4096,32,32,1,128,60,68,srowsQ1A4K.npz,120.4397964477539
249,attentionmask,8,8192,8192,32,32,1,128,60,68,srowsQ1A8K.npz,246.13579368591306
250,math_attention,8,8192,8192,32,32,1,128,60,68,srowsQ1A8K.npz,nan
251,attentionmask,8,16384,16384,32,32,1,128,60,68,srowsQ1A16K.npz,972.4887075424195
252,math_attention,8,16384,16384,32,32,1,128,60,68,srowsQ1A16K.npz,nan
253,attentionmask,8,32768,32768,32,32,1,128,60,68,srowsQ1A32K.npz,3881.484884262085
254,math_attention,8,32768,32768,32,32,1,128,60,68,srowsQ1A32K.npz,nan
255,attentionmask,8,65536,65536,32,32,1,128,60,68,srowsQ1A64K.npz,nan
256,math_attention,8,65536,65536,32,32,1,128,60,68,srowsQ1A64K.npz,nan
257,attentionmask,8,131072,131072,32,32,1,128,60,68,srowsQ1A128K.npz,nan
258,math_attention,8,131072,131072,32,32,1,128,60,68,srowsQ1A128K.npz,nan
259,sparsemask,8,2048,2048,32,32,1,128,0,68,srowsQ1A2K.npz,6.866888999938964
260,sparsemask,8,4096,4096,32,32,1,128,0,68,srowsQ1A4K.npz,22.949093580245968
261,sparsemask,8,8192,8192,32,32,1,128,0,68,srowsQ1A8K.npz,84.09914493560791
262,sparsemask,8,16384,16384,32,32,1,128,0,68,srowsQ1A16K.npz,315.159432888031
263,sparsemask,8,32768,32768,32,32,1,128,0,68,srowsQ1A32K.npz,1255.3527534008026
264,sparsemask,8,65536,65536,32,32,1,128,0,68,srowsQ1A64K.npz,4902.132107019424
265,sparsemask,8,131072,131072,32,32,1,128,0,68,srowsQ1A128K.npz,nan
266,sparsemask,8,2048,2048,32,32,1,128,10,68,srowsQ1A2K.npz,6.678881645202637
267,sparsemask,8,8192,8192,32,32,1,128,10,68,srowsQ1A8K.npz,73.44427585601807
268,sparsemask,4,4096,4096,32,32,1,128,30,68,srowsQ6A4K.npz,8.848283290863039
269,sparsemask,4,8192,8192,32,32,1,128,30,68,srowsQ6A8K.npz,29.4882869720459
270,sparsemask,4,16384,16384,32,32,1,128,30,68,srowsQ6A16K.npz,108.97258281707764
271,sparsemask,4,32768,32768,32,32,1,128,30,68,srowsQ6A32K.npz,424.02377367019653
272,sparsemask,4,65536,65536,32,32,1,128,30,68,srowsQ6A64K.npz,1592.4467468261719
273,sparsemask,4,131072,131072,32,32,1,128,30,68,srowsQ6A128K.npz,6607.210578918456
274,sparsemask,4,2048,2048,32,32,1,128,40,68,srowsQ6A2K.npz,2.607684135437012
275,sparsemask,4,4096,4096,32,32,1,128,40,68,srowsQ6A4K.npz,7.970162119184221
276,sparsemask,4,8192,8192,32,32,1,128,40,68,srowsQ6A8K.npz,26.430114746093754
277,sparsemask,4,16384,16384,32,32,1,128,40,68,srowsQ6A16K.npz,95.41281541188557
278,sparsemask,4,32768,32768,32,32,1,128,40,68,srowsQ6A32K.npz,354.9705636501312
279,sparsemask,4,65536,65536,32,32,1,128,40,68,srowsQ6A64K.npz,1386.394760608673
280,sparsemask,4,131072,131072,32,32,1,128,40,68,srowsQ6A128K.npz,5510.343824625016
281,sparsemask,4,2048,2048,32,32,1,128,50,68,srowsQ6A2K.npz,2.4458997899835766
282,sparsemask,4,4096,4096,32,32,1,128,50,68,srowsQ6A4K.npz,7.053207556406658
283,sparsemask,4,8192,8192,32,32,1,128,50,68,srowsQ6A8K.npz,23.24147844314575
284,sparsemask,4,16384,16384,32,32,1,128,50,68,srowsQ6A16K.npz,79.00398921966553
285,sparsemask,4,32768,32768,32,32,1,128,50,68,srowsQ6A32K.npz,289.32192325592035
286,sparsemask,4,65536,65536,32,32,1,128,50,68,srowsQ6A64K.npz,1121.7716352144878
